"Date","Price","Open","High","Low","Vol.","Change %"
"01/13/2023","11,079.16","10,906.37","11,084.01","10,900.16","919.66M","0.71%"
"01/12/2023","11,001.11","10,969.26","11,027.75","10,797.12","1.03B","0.64%"
"01/11/2023","10,931.67","10,794.99","10,932.44","10,762.73","1.01B","1.76%"
"01/10/2023","10,742.63","10,607.72","10,743.67","10,589.59","888.70M","1.01%"
"01/09/2023","10,635.65","10,662.11","10,807.26","10,619.12","1.04B","0.63%"
"01/06/2023","10,569.29","10,363.96","10,604.14","10,265.04","970.67M","2.56%"
"01/05/2023","10,305.24","10,390.31","10,393.22","10,295.25","957.48M","-1.47%"
"01/04/2023","10,458.76","10,467.82","10,515.22","10,337.64","1.04B","0.69%"
"01/03/2023","10,386.99","10,562.06","10,613.06","10,309.16","983.36M","-0.76%"
"12/30/2022","10,466.48","10,368.37","10,468.31","10,324.70","850.56M","-0.11%"
"12/29/2022","10,478.09","10,321.46","10,502.08","10,301.06","894.54M","2.59%"
"12/28/2022","10,213.29","10,339.20","10,414.82","10,207.47","751.52M","-1.35%"
"12/27/2022","10,353.23","10,462.19","10,472.32","10,340.73","753.05M","-1.38%"
"12/23/2022","10,497.86","10,437.75","10,514.76","10,361.82","678.03M","0.21%"
"12/22/2022","10,476.12","10,586.46","10,599.34","10,313.32","974.20M","-2.18%"
"12/21/2022","10,709.37","10,592.00","10,753.57","10,569.20","937.40M","1.54%"
"12/20/2022","10,547.11","10,490.89","10,609.46","10,446.82","972.31M","0.01%"
"12/19/2022","10,546.03","10,707.44","10,713.97","10,497.55","1.04B","-1.49%"
"12/16/2022","10,705.41","10,767.63","10,833.24","10,642.10","3.28B","-0.97%"
"12/15/2022","10,810.53","11,012.62","11,029.57","10,775.61","1.16B","-3.23%"
"12/14/2022","11,170.89","11,248.09","11,352.09","11,065.24","1.12B","-0.76%"
"12/13/2022","11,256.81","11,542.84","11,571.64","11,160.54","1.24B","1.01%"
"12/12/2022","11,143.74","11,015.48","11,144.67","10,984.82","955.14M","1.26%"
"12/09/2022","11,004.62","11,038.17","11,138.70","10,999.26","867.24M","-0.70%"
"12/08/2022","11,082.00","11,011.33","11,119.16","10,939.47","832.95M","1.13%"
"12/07/2022","10,958.55","10,963.95","11,039.81","10,910.62","828.48M","-0.51%"
"12/06/2022","11,014.89","11,228.42","11,241.42","10,956.20","888.70M","-2.00%"
"12/05/2022","11,239.94","11,380.99","11,425.51","11,193.03","885.18M","-1.93%"
"12/02/2022","11,461.50","11,308.38","11,492.32","11,296.72","859.61M","-0.18%"
"12/01/2022","11,482.45","11,475.17","11,546.77","11,378.75","912.53M","0.13%"
"11/30/2022","11,468.00","10,995.20","11,468.47","10,966.53","1.62B","4.41%"
"11/29/2022","10,983.78","11,060.02","11,086.02","10,944.37","783.46M","-0.59%"
"11/28/2022","11,049.50","11,147.57","11,217.75","11,020.69","811.96M","-1.58%"
"11/25/2022","11,226.36","11,231.00","11,261.57","11,206.38","377.17M","-0.52%"
"11/23/2022","11,285.32","11,174.61","11,310.82","11,174.61","695.12M","0.99%"
"11/22/2022","11,174.41","11,058.56","11,179.87","10,975.66","758.80M","1.36%"
"11/21/2022","11,024.51","11,091.01","11,128.78","10,999.75","765.20M","-1.09%"
"11/18/2022","11,146.06","11,257.01","11,259.44","11,059.16","846.40M","0.01%"
"11/17/2022","11,144.96","11,008.67","11,198.84","11,006.21","837.39M","-0.35%"
"11/16/2022","11,183.66","11,260.09","11,286.10","11,162.92","887.82M","-1.54%"
"11/15/2022","11,358.41","11,474.82","11,492.62","11,241.15","1.04B","1.45%"
"11/14/2022","11,196.22","11,233.90","11,350.13","11,167.17","983.39M","-1.12%"
"11/11/2022","11,323.33","11,124.75","11,352.43","11,069.83","1.21B","1.88%"
"11/10/2022","11,114.15","10,869.17","11,119.12","10,779.95","1.40B","7.35%"
"11/09/2022","10,353.17","10,528.45","10,564.97","10,344.01","1.04B","-2.48%"
"11/08/2022","10,616.20","10,611.53","10,745.64","10,472.73","994.35M","0.49%"
"11/07/2022","10,564.52","10,516.94","10,587.96","10,428.91","930.25M","0.85%"